Display_Name;Original_Variants
academy;academy
activist;activist
actor;actor
adult;adult
adventure;adventure
african;african
alcohol;alcohol
ambition;ambition
american;american
amusement;amusement
animal;anima, animal
anthropology;anthropology
apple;apple
aquarium;aquarium
archery;archery
architecture;architecture
art;art, artist, art gallery
asian;asian
attraction;attraction
bachelor;bachelor
bacon;bacon
badminton;badminton
ball;ball
band;band
banjo;banjo
bar;bar
barcelona;barcelona
bartender;bartender
baseball;baseball
basketball;basketball
bass;bass
batman;batman
bay;bay
bear;bear
beauty;beauty
bed;bed
beer;beer
bicycle;bicycle
bike;bike, bike rid, bike riding
biology;biology
bird;bird
bisexual;bisexual
boat;boat
bolivia;bolivia
book;book, good book, bookstore, read book, comic book
boss;boss
bourbon;bourbon
brain;brain
brand;brand
brazilian;brazilian
bread;bread
breakfast;breakfast
bridge;bridge
brilliant;brilliant
brunch;brunch
buddhism;buddhism
buddhist;buddhist
bungee;bungee
butterfly;butterfly
cake;cake
calm;calm
camera;camera
camp;camp
cancer;cancer
candy;candy
capitalism;capitalism
car;car
caribbean;caribbean
carpenter;carpenter
cartoon;cartoon
cat;cat
catholic;catholic
challenge;challenge
character;character
charm;charm
cheese;cheese
chef;chef
chemistry;chemistry
chess;chess
chicken;chicken
childhood;childhood
chill;chill
chivalry;chivalry
chocolate;chocolate, dark chocolate
christian;christian
christmas;christmas
church;church
cigarette;cigarette
cinema;cinema
classy;classy
cliff;cliff
clothe;clothe, clothing
cloud;cloud
club;club
coach;coach
coast;coast
cocktail;cocktail
coffee;coffee
collection;collection
comedy;comedy
commitment;commitment
communication;communicator, communication
community;community
company;company
computer;computer, computer science
concert;concert
conversation;conversation
countryside;countryside
cow;cow
cream;cream
creativity;creativity, creativo writing
crime;crime
culture;culture, new culture
cupid;cupid
cycling;cycle, cycling, cyclist
dancing;dancer, dancing, dance floor
degree;degree
desert;desert
design;design, designer, graphic design, graphic designer
devil;devil
dining;dine, dining
dinner;dinner
dinosaur;dinosaur
diversity;diversity
doctor;doctor
documentary;documentary
dog;dog
drama;drama
drug;drug
drum;drum
economy;economy, economist
education;educator, education
ego;ego
electronic music;electronic music
energy;energy
engineer;engineer, engineering, software engineer
english;english
enigma;enigma
