EMB,NAME,TYPE,LANGUAGE,RUNTIME,BUILD,FILES,LOCS,DATABASE,LICENSE,ENDPOINTS,AUTHENTICATION,URL
TRUE,tiltaksgjennomforing,REST,Java,JDK 17,Maven,472,27316,PostgreSQL,MIT,79,TRUE,https://github.com/navikt/tiltaksgjennomforing-api
TRUE,person-controller,REST,Java,JDK 21,Maven,16,1112,MongoDB,Apache,12,FALSE,https://github.com/mongodb-developer/java-spring-boot-mongodb-starter
TRUE,tracking-system,REST,Java,JDK 11,Maven,87,5947,H2,UNDEFINED,67,TRUE,https://github.com/SelimHorri/project-tracking-system-backend-app
TRUE,blogapi,REST,Java,JDK 8,Maven,89,4787,MySQL,AGPL,52,TRUE,https://github.com/osopromadze/Spring-Boot-Blog-REST-API
TRUE,user-management,REST,Java,JDK 8,Maven,69,4274,MySQL,MIT,21,FALSE,https://github.com/andreagiassi/microservice-rbac-user-management
TRUE,youtube-mock,REST,Java,JDK 8,Maven,29,3229,,UNDEFINED,1,FALSE,https://github.com/opensourcingapis/YouTubeMock
TRUE,familie-ba-sak,REST,Kotlin,JDK 17,Maven,1089,143556,PostgreSQL,MIT,183,TRUE,https://github.com/navikt/familie-ba-sak
TRUE,pay-publicapi,REST,Java,JDK 11,Maven,377,34576,Redis,MIT,10,TRUE,https://github.com/alphagov/pay-publicapi
TRUE,session-service,REST,Java,JDK 8,Maven,15,1471,MongoDB,UNDEFINED,8,FALSE,https://github.com/cBioPortal/session-service
TRUE,bibliothek,REST,Java,JDK 17,Gradle,33,2176,MongoDB,MIT,8,FALSE,https://github.com/PaperMC/bibliothek
TRUE,reservations-api,REST,Java,JDK 11,Gradle,39,1853,MongoDB,UNDEFINED,7,TRUE,https://github.com/cyrilgavala/reservations-api
TRUE,catwatch,REST,Java,JDK 8,Maven,106,9636,H2,Apache,14,FALSE,https://github.com/zalando-incubator/catwatch
TRUE,cwa-verification,REST,Java,JDK 11,Maven,47,3955,H2,Apache,5,FALSE,https://github.com/corona-warn-app/cwa-verification-server
TRUE,erc20-rest-service,REST,Java,JDK 8,Gradle,7,1378,,UNDEFINED,13,FALSE,https://github.com/web3labs/erc20-rest-service
TRUE,features-service,REST,Java,JDK 8,Maven,39,2275,H2,Apache,18,FALSE,https://github.com/JavierMF/features-service
TRUE,gestaohospital,REST,Java,JDK 8,Maven,33,3506,MongoDB,UNDEFINED,20,FALSE,https://github.com/ValchanOficial/GestaoHospital
TRUE,http-patch-spring,REST,Java,JDK 11,Maven,30,1450,,MIT,6,FALSE,https://github.com/cassiomolin/http-patch-spring
TRUE,languagetool,REST,Java,JDK 8,Maven,1385,174781,,LGPL,2,FALSE,https://github.com/languagetool-org/languagetool
TRUE,ocvn,REST,Java,JDK 8,Maven,526,45521,H2;MongoDB,MIT,258,TRUE,https://github.com/devgateway/ocvn
TRUE,ohsome-api,REST,Java,JDK 17,Maven,87,14166,OSHDB,AGPL-3.0,134,FALSE,https://github.com/GIScience/ohsome-api
TRUE,proxyprint,REST,Java,JDK 8,Maven,73,8338,H2,Apache,74,TRUE,https://github.com/ProxyPrint/proxyprint-kitchen
TRUE,quartz-manager,REST,Java,JDK 11,Maven,129,5068,,Apache,11,TRUE,https://github.com/fabioformosa/quartz-manager
TRUE,rest-ncs,REST,Java,JDK 8,Maven,9,605,,UNDEFINED,6,FALSE,UNDEFINED
TRUE,rest-news,REST,Kotlin,JDK 8,Maven,11,857,H2,LGPL,7,FALSE,https://github.com/arcuri82/testing_security_development_enterprise_systems
TRUE,rest-scs,REST,Java,JDK 8,Maven,13,862,,UNDEFINED,11,FALSE,UNDEFINED
TRUE,restcountries,REST,Java,JDK 8,Maven,24,1977,,MPL,22,FALSE,https://github.com/apilayer/restcountries
TRUE,scout-api,REST,Java,JDK 8,Maven,93,9736,H2,MIT,49,TRUE,https://github.com/mikaelsvensson/scout-api
TRUE,spring-actuator-demo,REST,Java,JDK 8,Maven,5,117,,UNDEFINED,2,TRUE,https://github.com/callicoder/spring-boot-actuator-demo
TRUE,spring-batch-rest,REST,Java,JDK 8,Maven,65,3668,,Apache,5,FALSE,https://github.com/chrisgleissner/spring-batch-rest
TRUE,spring-ecommerce,REST,Java,JDK 8,Maven,58,2223,MongoDB;Redis;Elasticsearch,UNDEFINED,26,TRUE,https://github.com/SaiUpadhyayula/SpringAngularEcommerce
TRUE,spring-rest-example,REST,Java,JDK 17,Maven,32,1426,MySQL,MIT,9,FALSE,https://github.com/phantasmicmeans/spring-boot-restful-api-example
TRUE,swagger-petstore,REST,Java,JDK 8,Maven,23,1631,,Apache,19,FALSE,https://github.com/swagger-api/swagger-petstore
TRUE,genome-nexus,REST,Java,JDK 8,Maven,405,30004,MongoDB,MIT,23,FALSE,https://github.com/genome-nexus/genome-nexus
TRUE,market,REST,Java,JDK 11,Maven,124,9861,H2,MIT,13,TRUE,https://github.com/aleksey-lukyanets/market
TRUE,microcks,REST,Java,JDK 21,Maven,471,66186,MongoDB,Apache,88,TRUE,https://github.com/microcks/microcks
TRUE,petclinic-graphql,GraphQL,Java,JDK 8,Maven,89,5212,PostgreSQL,Apache,15,FALSE,https://github.com/spring-petclinic/spring-petclinic-graphql
TRUE,patio-api,GraphQL,Java,JDK 11,Gradle,178,18048,PostgreSQL,GPL,20,TRUE,https://github.com/patio-team/patio-api
TRUE,timbuctoo,GraphQL,Java,JDK 11,Maven,1113,107729,Neo4j,GPL,18,TRUE,https://github.com/HuygensING/timbuctoo
TRUE,graphql-ncs,GraphQL,Kotlin,JDK 8,Maven,8,548,,UNDEFINED,6,FALSE,UNDEFINED
TRUE,graphql-scs,GraphQL,Kotlin,JDK 8,Maven,13,577,,UNDEFINED,11,FALSE,UNDEFINED
TRUE,thrift-ncs,Thrift,Java,JDK 8,Maven,9,585,,UNDEFINED,6,FALSE,UNDEFINED
TRUE,thrift-scs,Thrift,Java,JDK 8,Maven,14,772,,UNDEFINED,11,FALSE,UNDEFINED
TRUE,grpc-ncs,gRPC,Java,JDK 8,Maven,9,638,,UNDEFINED,6,FALSE,UNDEFINED
TRUE,grpc-scs,gRPC,Java,JDK 8,Maven,14,894,,UNDEFINED,11,FALSE,UNDEFINED
TRUE,signal-registration,gRPC,Java,JDK 17,Maven,177,13652,,UNDEFINED,5,FALSE,https://github.com/signalapp/registration-service
TRUE,webgoat,REST,Java,JDK 21,Maven,355,27638,H2,GPL,204,TRUE,https://github.com/WebGoat/WebGoat
TRUE,commafeed,REST,Java,JDK 25,Maven,201,21287,H2,Apache,44,TRUE,https://github.com/Athou/commafeed
TRUE,jasper,REST,Java,JDK 25,Maven,337,46791,PostgreSQL,MIT,61,TRUE,https://github.com/cjmalloy/jasper
TRUE,redis-sample,REST,Java,JDK 21,Maven,18,1006,Redis,UNDEFINED,4,FALSE,https://github.com/hendisantika/spring-boot-redis-sample
TRUE,adoptme,REST,Java,JDK 21,Maven,41,6158,Neo4j,UNDEFINED,14,FALSE,https://github.com/daanimelian/Programacion3-TPO
FALSE,ind0,REST,Java,JDK 8,Gradle,103,17039,PostgreSQL,Proprietary,20,FALSE,UNDEFINED
FALSE,ind1,REST,Java;Kotlin,JDK 11,Gradle,163,15240,PostgreSQL,Proprietary,53,FALSE,UNDEFINED

